iter	Passed	Remaining
890	120697	14765
891	120833	14630
892	120994	14497
893	121121	14361
894	121249	14224
895	121422	14093
896	121510	13952
897	121538	13805
898	121661	13668
899	121788	13532
900	121917	13395
901	122087	13264
902	122217	13128
903	122346	12992
904	122478	12856
905	122708	12731
906	122851	12596
907	122980	12460
908	123050	12318
909	123192	12183
910	123338	12049
911	123467	11913
912	123596	11777
913	123802	11648
914	123952	11514
915	124083	11378
916	124214	11242
917	124381	11110
918	124519	10975
919	124648	10839
920	124777	10702
921	124919	10568
922	125083	10434
923	125212	10298
924	125281	10157
925	125406	10021
926	125590	9890
927	125718	9754
928	125845	9617
929	126055	9488
930	126364	9365
931	126379	9220
932	126499	9084
933	126643	8949
934	126879	8820
935	127073	8688
936	127337	8561
937	127439	8423
938	127563	8286
939	127692	8150
940	127824	8014
941	127983	7880
942	128112	7743
943	128241	7607
944	128257	7464
945	128419	7330
946	128631	7198
947	128758	7062
948	128886	6926
949	129046	6791
950	129184	6656
951	129252	6516
952	129376	6380
953	129507	6244
954	129750	6113
955	129876	5977
956	130003	5841
957	130132	5705
958	130295	5570
959	130424	5434
960	130568	5298
961	130773	5165
962	131002	5033
963	131161	4898
964	131325	4763
965	131663	4634
966	131911	4501
967	132130	4367
968	132276	4231
969	132408	4095
970	132596	3960
971	132783	3825
972	132927	3688
973	133121	3553
974	133181	3414
975	133369	3279
976	133412	3140
977	133562	3004
978	133772	2869
979	133925	2733
980	134077	2596
981	134259	2460
982	134507	2326
983	134665	2189
984	134814	2053
985	134982	1916
986	134999	1778
987	135121	1641
988	135249	1504
989	135263	1366
990	135423	1229
991	135663	1094
992	135808	957
993	135939	820
994	136114	683
995	136244	547
996	136376	410
997	136571	273
998	136672	136
999	136732	0
