iter	AUC:type=Mu	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6
74	0.983887603	1.945262973	0.7322274882	0.8167938931	0.5952380952	0.6031746032	0.8483754513	0.9961685824	0.6024096386	0.575815739
75	0.9837926588	1.945251265	0.7351895735	0.8152380952	0.587537092	0.6237816764	0.8592321755	0.9961685824	0.598540146	0.575815739
76	0.9838733714	1.945246997	0.7369668246	0.8152380952	0.5892857143	0.6317829457	0.8639705882	0.9961685824	0.5970873786	0.575815739
77	0.983915952	1.945234467	0.7351895735	0.8152380952	0.5910447761	0.6225680934	0.8660550459	0.9961685824	0.5995203837	0.5675675676
78	0.9840233693	1.945222802	0.7393364929	0.8183556405	0.6	0.6342412451	0.8660550459	0.9961685824	0.6009615385	0.5736434109
79	0.9840966327	1.945215599	0.7387440758	0.8183556405	0.6	0.626223092	0.8628884826	0.9961685824	0.6038647343	0.5780346821
80	0.9842297067	1.945205307	0.7428909953	0.8183556405	0.6023391813	0.6421663443	0.8676470588	0.9961685824	0.6101694915	0.5786407767
81	0.9842392826	1.945197052	0.7428909953	0.8183556405	0.6023391813	0.6421663443	0.8676470588	0.9961685824	0.6101694915	0.5786407767
82	0.9841782239	1.945189146	0.7422985782	0.8183556405	0.6023391813	0.6421663443	0.8676470588	0.9961685824	0.6067961165	0.5775193798
83	0.9841902787	1.945181192	0.740521327	0.8167938931	0.5982404692	0.6382978723	0.8676470588	0.9961685824	0.6067961165	0.5736434109
84	0.9841644157	1.9451747	0.7428909953	0.8167938931	0.5941176471	0.6395348837	0.8676470588	0.9961685824	0.6131386861	0.5857418112
85	0.9842623774	1.945169697	0.7440758294	0.8183556405	0.5982404692	0.6421663443	0.8676470588	0.9961685824	0.6131386861	0.5868725869
86	0.9843106231	1.945161404	0.7452606635	0.8199233716	0.6041055718	0.6447876448	0.8676470588	0.9961685824	0.6131386861	0.5868725869
87	0.9844102699	1.945153436	0.7470379147	0.8214971209	0.6081871345	0.6460348162	0.8676470588	0.9961685824	0.6146341463	0.5923076923
88	0.9844772767	1.945143844	0.7464454976	0.8183556405	0.6	0.6539196941	0.8724584104	0.9961685824	0.6097560976	0.5880077369
89	0.9845547953	1.945137009	0.7494075829	0.8199233716	0.6064139942	0.6628571429	0.8773234201	0.9961685824	0.6112469438	0.5880077369
90	0.984658464	1.945128291	0.7511848341	0.8214971209	0.6104651163	0.6666666667	0.8773234201	0.9961685824	0.6146341463	0.5886939571
91	0.9848137549	1.945123169	0.7494075829	0.8183556405	0.6064139942	0.6654064272	0.8773234201	0.9961685824	0.6093366093	0.5875486381
92	0.9845061739	1.945098471	0.7434834123	0.8136882129	0.5816023739	0.6539196941	0.8713235294	0.9961685824	0.6120481928	0.5815324165
93	0.9845357256	1.94508947	0.7434834123	0.8136882129	0.5816023739	0.6577946768	0.8745387454	0.9961685824	0.6072289157	0.5787401575
94	0.9846269484	1.945083509	0.7440758294	0.8167938931	0.5917159763	0.6552380952	0.8729281768	0.9961685824	0.6057692308	0.5787401575
95	0.9845960843	1.945073517	0.7440758294	0.8183556405	0.5941176471	0.6526717557	0.8713235294	0.9961685824	0.6072289157	0.5787401575
96	0.9847796773	1.945067757	0.7446682464	0.8167938931	0.5958702065	0.6552380952	0.8729281768	0.9961685824	0.6072289157	0.5787401575
97	0.9847953531	1.945062263	0.7482227488	0.8167938931	0.6023391813	0.6628787879	0.876155268	0.9961685824	0.6131386861	0.5826771654
98	0.9847903017	1.945052221	0.7464454976	0.8167938931	0.6041055718	0.6539196941	0.8713235294	0.9961685824	0.6150121065	0.5815324165
99	0.9847931113	1.94504299	0.7476303318	0.8167938931	0.6041055718	0.659047619	0.8745387454	0.9961685824	0.6150121065	0.5815324165
100	0.9847586614	1.945020595	0.73992891	0.8121442125	0.5833333333	0.6475095785	0.8681318681	0.9961685824	0.6004842615	0.5764705882
101	0.9848141977	1.945014516	0.7411137441	0.8121442125	0.587537092	0.6500956023	0.8681318681	0.9961685824	0.6038647343	0.5759368836
102	0.9847387181	1.945005878	0.7417061611	0.8136882129	0.587537092	0.6526717557	0.8697247706	0.9961685824	0.6004842615	0.5776031434
103	0.9846762099	1.94499646	0.740521327	0.8136882129	0.587537092	0.6487523992	0.8681318681	0.9961685824	0.5990338164	0.5764705882
104	0.9847731922	1.944990144	0.7422985782	0.8136882129	0.587537092	0.6539196941	0.8697247706	0.9961685824	0.6024096386	0.5787401575
105	0.9848413063	1.944984096	0.7422985782	0.8136882129	0.587537092	0.6539196941	0.8697247706	0.9961685824	0.6024096386	0.5787401575
106	0.9847948418	1.944976368	0.7417061611	0.8136882129	0.587537092	0.6513409962	0.8681318681	0.9961685824	0.6024096386	0.5787401575
107	0.984909079	1.944967882	0.7434834123	0.8121442125	0.5833333333	0.6577437859	0.8713235294	0.9961685824	0.6072289157	0.5815324165
108	0.9849618286	1.944961995	0.7440758294	0.8121442125	0.5833333333	0.6590038314	0.8713235294	0.9961685824	0.6072289157	0.5843137255
109	0.9850523281	1.944953266	0.7458530806	0.8121442125	0.5833333333	0.6666666667	0.876155268	0.9961685824	0.6072289157	0.5843137255
110	0.9851295216	1.944944621	0.7470379147	0.8121442125	0.587537092	0.6692015209	0.8777777778	0.9961685824	0.6086956522	0.5843137255
111	0.9851750979	1.944940228	0.7476303318	0.8121442125	0.587537092	0.6692015209	0.8777777778	0.9961685824	0.6120481928	0.5854616896
112	0.9852766733	1.944935033	0.7494075829	0.8121442125	0.587537092	0.6704761905	0.8777777778	0.9961685824	0.618705036	0.5905511811
113	0.985256252	1.944923782	0.7482227488	0.8121442125	0.5833333333	0.6692015209	0.8777777778	0.9961685824	0.6172248804	0.5877712032
114	0.9853500247	1.944919349	0.7494075829	0.8121442125	0.5833333333	0.6704761905	0.8777777778	0.9961685824	0.6205250597	0.5917159763
115	0.9853925327	1.944912153	0.7505924171	0.8136882129	0.587537092	0.6704761905	0.8777777778	0.9961685824	0.6220095694	0.594488189
116	0.9854351841	1.944901989	0.7505924171	0.8136882129	0.587537092	0.6704761905	0.8777777778	0.9961685824	0.6238095238	0.5928853755
117	0.9854753969	1.944890192	0.7505924171	0.8136882129	0.587537092	0.6704761905	0.8777777778	0.9961685824	0.6220095694	0.594488189
118	0.9855213331	1.944882826	0.7505924171	0.8152380952	0.5917159763	0.6704761905	0.8777777778	0.9961685824	0.618705036	0.5933202358
119	0.9854132333	1.944871086	0.7476303318	0.8136882129	0.587537092	0.6653919694	0.8745387454	0.9961685824	0.6120481928	0.5909980431
120	0.9854192349	1.944864545	0.7505924171	0.8136882129	0.5917159763	0.6704980843	0.876155268	0.9961685824	0.6168674699	0.59765625
121	0.9853437691	1.944849539	0.7482227488	0.8121442125	0.587537092	0.6679389313	0.876155268	0.9961685824	0.6139088729	0.5905511811
122	0.9851028103	1.944827239	0.7458530806	0.8121442125	0.5791044776	0.6589147287	0.8681318681	0.9961685824	0.6161137441	0.594488189
123	0.9851423343	1.944822177	0.7464454976	0.8121442125	0.5791044776	0.6615087041	0.8697247706	0.9961685824	0.6161137441	0.594488189
124	0.9852033409	1.944813465	0.7476303318	0.8136882129	0.5833333333	0.6627906977	0.8697247706	0.9961685824	0.6161137441	0.5972495088
125	0.985206309	1.944806846	0.7470379147	0.8136882129	0.5833333333	0.6601941748	0.8681318681	0.9961685824	0.6161137441	0.5972495088
126	0.9851651279	1.944800045	0.7464454976	0.8136882129	0.5833333333	0.6575875486	0.8665447898	0.9961685824	0.6161137441	0.5972495088
127	0.9852238394	1.944794351	0.7470379147	0.8136882129	0.5833333333	0.6601941748	0.8681318681	0.9961685824	0.6161137441	0.5972495088
128	0.9852506936	1.944788557	0.7488151659	0.8136882129	0.587537092	0.6627906977	0.8697247706	0.9961685824	0.619047619	0.6
129	0.9852731793	1.944777493	0.7464454976	0.8136882129	0.5850746269	0.6601941748	0.8681318681	0.9961685824	0.6113744076	0.5960784314
130	0.9851113361	1.944755228	0.7434834123	0.8136882129	0.5976331361	0.6363636364	0.8555956679	0.9961685824	0.619047619	0.5960784314
131	0.9849878998	1.944742338	0.7417061611	0.8121442125	0.5934718101	0.6336633663	0.8535262206	0.9961685824	0.619047619	0.59375
132	0.9850003063	1.944737635	0.7411137441	0.8121442125	0.5934718101	0.630952381	0.8519855596	0.9961685824	0.619047619	0.59375
133	0.9849258522	1.944726619	0.7428909953	0.8121442125	0.5934718101	0.6390532544	0.8566243194	0.9961685824	0.619047619	0.59375
134	0.984915857	1.944721024	0.7446682464	0.8121442125	0.5934718101	0.6470588235	0.8613138686	0.9961685824	0.619047619	0.59375
135	0.9849867553	1.944712931	0.7452606635	0.8121442125	0.5934718101	0.6497064579	0.8628884826	0.9961685824	0.619047619	0.59375
136	0.9850119125	1.944696287	0.7434834123	0.809073724	0.5892857143	0.6444007859	0.8597449909	0.9961685824	0.622327791	0.5921568627
137	0.9850862788	1.944692153	0.7440758294	0.809073724	0.5850746269	0.6470588235	0.8613138686	0.9961685824	0.622327791	0.5949119374
138	0.9851419986	1.944685568	0.7458530806	0.809073724	0.5892857143	0.6550387597	0.8660550459	0.9961685824	0.6238095238	0.5905511811
139	0.9851644383	1.944680671	0.7464454976	0.809073724	0.5892857143	0.6576402321	0.8676470588	0.9961685824	0.6238095238	0.5905511811
140	0.9853144538	1.944672693	0.7470379147	0.809073724	0.5892857143	0.6601941748	0.8676470588	0.9961685824	0.6205250597	0.5949119374
141	0.9853252178	1.944666629	0.7470379147	0.809073724	0.5850746269	0.6601941748	0.8676470588	0.9961685824	0.622327791	0.5960784314
142	0.9853246493	1.944662504	0.7476303318	0.8106060606	0.5892857143	0.6601941748	0.8676470588	0.9961685824	0.622327791	0.5960784314
143	0.9853098321	1.944651272	0.7476303318	0.809073724	0.5850746269	0.6627906977	0.8697247706	0.9961685824	0.6208530806	0.5956607495
144	0.9853018409	1.944641499	0.7470379147	0.809073724	0.5850746269	0.6575875486	0.8697247706	0.9961685824	0.622327791	0.5960784314
145	0.9853916715	1.944635686	0.7482227488	0.809073724	0.5892857143	0.6627906977	0.8713235294	0.9961685824	0.622327791	0.594488189
146	0.9854099899	1.94463115	0.7476303318	0.8075471698	0.5808383234	0.6627906977	0.8713235294	0.9961685824	0.622327791	0.5972495088
147	0.9853744617	1.944623918	0.7488151659	0.8106060606	0.5892857143	0.6640776699	0.8692449355	0.9961685824	0.622327791	0.5988258317
148	0.9854171674	1.944619554	0.7494075829	0.8121442125	0.5934718101	0.6640776699	0.8692449355	0.9961685824	0.622327791	0.5988258317
149	0.9854595903	1.944613414	0.7488151659	0.8106060606	0.5892857143	0.6627906977	0.8713235294	0.9961685824	0.622327791	0.5972495088
150	0.9854973629	1.944604977	0.7488151659	0.8106060606	0.5850746269	0.6666666667	0.8692449355	0.9961685824	0.6208530806	0.6
151	0.9855798337	1.944599541	0.7511848341	0.8121442125	0.5892857143	0.6705426357	0.8729281768	0.9961685824	0.6208530806	0.6039215686
152	0.9856358038	1.944594014	0.7511848341	0.8121442125	0.5850746269	0.6731141199	0.8745387454	0.9961685824	0.6193853428	0.6039215686
153	0.985698984	1.944584376	0.7523696682	0.8121442125	0.5850746269	0.6705426357	0.8729281768	0.9961685824	0.6291079812	0.607495069
154	0.9856690671	1.944574953	0.7505924171	0.8121442125	0.5892857143	0.667961165	0.8692449355	0.9961685824	0.6241134752	0.6039215686
155	0.9857130302	1.944567303	0.7523696682	0.8121442125	0.5892857143	0.6705426357	0.8708487085	0.9961685824	0.6305882353	0.6062992126
156	0.9857434249	1.944562296	0.7517772512	0.8121442125	0.5892857143	0.6731141199	0.8724584104	0.9961685824	0.6241134752	0.6039215686
157	0.9857872256	1.944557745	0.7529620853	0.8121442125	0.5892857143	0.6731141199	0.8745387454	0.9961685824	0.6273584906	0.6062992126
158	0.9857784846	1.944551212	0.7541469194	0.8136882129	0.5934718101	0.6731141199	0.8745387454	0.9961685824	0.6305882353	0.607495069
159	0.9857692846	1.944540757	0.7517772512	0.8136882129	0.5934718101	0.6705426357	0.8729281768	0.9961685824	0.6208530806	0.6039215686
160	0.9856942253	1.944520035	0.7476303318	0.8136882129	0.5934718101	0.6601941748	0.8660550459	0.9961685824	0.6175771971	0.5960784314
161	0.98561764	1.944508299	0.7476303318	0.8136882129	0.5934718101	0.6614785992	0.8660550459	0.9961685824	0.6142857143	0.59765625
162	0.9855547249	1.944499503	0.7476303318	0.8121442125	0.5934718101	0.6614785992	0.8660550459	0.9961685824	0.61575179	0.59765625
163	0.985541287	1.944490849	0.7464454976	0.809073724	0.5850746269	0.6588693957	0.8660550459	0.9961685824	0.619047619	0.59765625
164	0.9853216493	1.944467323	0.7440758294	0.8075471698	0.5850746269	0.6497064579	0.8628884826	0.9961685824	0.6205250597	0.59375
165	0.9853009286	1.944457117	0.7434834123	0.8060263653	0.5808383234	0.6497064579	0.8613138686	0.9961685824	0.6205250597	0.5949119374
166	0.9852903942	1.944450091	0.7440758294	0.8060263653	0.5808383234	0.6497064579	0.8613138686	0.9961685824	0.6238095238	0.5960784314
167	0.9852004257	1.944437933	0.7422985782	0.8060263653	0.5791044776	0.6444007859	0.8581818182	0.9961685824	0.6220095694	0.5949119374
168	0.9852000961	1.944432688	0.7434834123	0.8060263653	0.5791044776	0.6483300589	0.8597449909	0.9961685824	0.6220095694	0.59765625
169	0.9852043187	1.944420987	0.7434834123	0.8075471698	0.5850746269	0.6470588235	0.8597449909	0.9961685824	0.6205250597	0.5949119374
170	0.9851363921	1.944411307	0.7411137441	0.8060263653	0.5722891566	0.6444007859	0.8581818182	0.9961685824	0.6175771971	0.5949119374
171	0.9852145854	1.944405627	0.7417061611	0.8060263653	0.5679758308	0.6483300589	0.8597449909	0.9961685824	0.6161137441	0.59765625
172	0.9850323207	1.94438148	0.740521327	0.809073724	0.5808383234	0.6322067594	0.8519855596	0.9961685824	0.6208530806	0.59765625
173	0.9850980419	1.944372232	0.7422985782	0.8075471698	0.5765765766	0.6429980276	0.8581818182	0.9961685824	0.6208530806	0.59765625
174	0.9850773592	1.944363018	0.7422985782	0.8075471698	0.5765765766	0.6429980276	0.8581818182	0.9961685824	0.6208530806	0.59765625
175	0.985187382	1.944356443	0.7422985782	0.809073724	0.5808383234	0.6429980276	0.8581818182	0.9961685824	0.6175771971	0.5964912281
176	0.9852806071	1.944350333	0.7428909953	0.809073724	0.5808383234	0.6456692913	0.8581818182	0.9961685824	0.6175771971	0.59765625
177	0.9853237305	1.944343658	0.7428909953	0.809073724	0.5808383234	0.6456692913	0.8581818182	0.9961685824	0.6175771971	0.59765625
178	0.9853826935	1.944338731	0.7446682464	0.8075471698	0.5850746269	0.6496062992	0.8597449909	0.9961685824	0.6205250597	0.6003898635
179	0.9853373651	1.944328101	0.7470379147	0.8121442125	0.6017699115	0.6469428008	0.8581818182	0.9961685824	0.6252983294	0.6015625
180	0.9853528214	1.944316738	0.7476303318	0.8106060606	0.5976331361	0.652259332	0.8597449909	0.9961685824	0.6252983294	0.602739726
181	0.9853680052	1.944309882	0.7470379147	0.8106060606	0.5976331361	0.6496062992	0.8597449909	0.9961685824	0.6252983294	0.6015625
182	0.9853147028	1.944293546	0.7470379147	0.8136882129	0.6058823529	0.6456692913	0.8566243194	0.9961685824	0.6252983294	0.6
183	0.9853279533	1.944288817	0.7476303318	0.8136882129	0.6058823529	0.6483300589	0.8581818182	0.9961685824	0.6252983294	0.6
184	0.9852393406	1.944266023	0.7417061611	0.8106060606	0.5958702065	0.6294820717	0.8473967684	0.9961685824	0.6267942584	0.5960784314
185	0.9852334093	1.944259805	0.7417061611	0.8106060606	0.5958702065	0.630952381	0.8473967684	0.9961685824	0.6267942584	0.594488189
186	0.9852256707	1.944254138	0.7440758294	0.8106060606	0.6	0.6390532544	0.8519855596	0.9961685824	0.6282973621	0.594488189
187	0.9852609098	1.944246936	0.7446682464	0.8121442125	0.6041055718	0.6390532544	0.8519855596	0.9961685824	0.6282973621	0.594488189
188	0.9853848684	1.944239246	0.7458530806	0.8136882129	0.6041055718	0.6429980276	0.8535262206	0.9961685824	0.6267942584	0.5972495088
189	0.9854281427	1.944235421	0.7458530806	0.8136882129	0.6041055718	0.6429980276	0.8535262206	0.9961685824	0.6267942584	0.5972495088
190	0.9854835761	1.944229314	0.7470379147	0.8136882129	0.6041055718	0.6469428008	0.8550724638	0.9961685824	0.6267942584	0.6
191	0.9855258148	1.944225228	0.7488151659	0.8152380952	0.6081871345	0.6496062992	0.8581818182	0.9961685824	0.6267942584	0.602739726
192	0.985533633	1.94421756	0.7494075829	0.8136882129	0.6041055718	0.6549019608	0.8613138686	0.9961685824	0.6267942584	0.602739726
193	0.9855845822	1.944212796	0.7494075829	0.8136882129	0.6041055718	0.6549019608	0.8613138686	0.9961685824	0.6267942584	0.602739726
194	0.9855748143	1.944204362	0.7505924171	0.8152380952	0.6081871345	0.6575342466	0.8628884826	0.9961685824	0.6267942584	0.602739726
195	0.9854588484	1.944192274	0.7488151659	0.8136882129	0.6041055718	0.652259332	0.8597449909	0.9961685824	0.6267942584	0.602739726
196	0.9855034417	1.944184991	0.7470379147	0.8121442125	0.6	0.6496062992	0.8581818182	0.9961685824	0.623501199	0.6015625
197	0.9855825377	1.944172283	0.7464454976	0.8121442125	0.5958702065	0.6496062992	0.8581818182	0.9961685824	0.6220095694	0.6015625
